               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.018448,           0.0039564,            0.018132,             0.80028,             0.90895,             0.88681,             0.68679,            0.016201,           0.0036147,            0.046134,            0.008845,            0.008845,            0.008845
                  37,             0.01852,           0.0038221,            0.017395,             0.85205,             0.95099,             0.93762,              0.7277,            0.015442,            0.003497,            0.046288,            0.008812,            0.008812,            0.008812
                  38,             0.01848,           0.0039477,            0.017838,             0.85204,             0.93364,             0.93799,             0.72601,            0.015364,           0.0035269,            0.044877,            0.008779,            0.008779,            0.008779
                  39,            0.018521,           0.0039308,            0.017209,             0.85429,             0.95062,             0.94973,             0.73385,            0.015577,           0.0034235,            0.049807,            0.008746,            0.008746,            0.008746
                  40,             0.01877,            0.003922,            0.015763,             0.80489,             0.85802,             0.89701,             0.68936,            0.015585,            0.003566,            0.039714,            0.008713,            0.008713,            0.008713
                  41,             0.01867,           0.0039027,            0.015245,             0.90445,             0.92593,             0.94701,             0.72455,            0.016068,           0.0035101,            0.031594,             0.00868,             0.00868,             0.00868
                  42,            0.019185,           0.0039827,            0.013901,             0.79679,             0.92581,             0.90841,             0.69123,            0.017184,           0.0039288,            0.027079,            0.008647,            0.008647,            0.008647
                  43,            0.019201,           0.0039139,            0.013478,             0.88869,             0.94444,             0.95931,              0.7246,            0.017832,           0.0035439,            0.025734,            0.008614,            0.008614,            0.008614
                  44,            0.019446,           0.0039967,            0.011977,             0.86293,             0.88889,             0.93434,             0.72344,            0.016522,           0.0035995,            0.028203,            0.008581,            0.008581,            0.008581
                  45,            0.018946,            0.003959,            0.012483,             0.89441,             0.90123,             0.95555,             0.73741,            0.015965,           0.0036066,            0.022648,            0.008548,            0.008548,            0.008548
                  46,            0.019023,           0.0039656,            0.011533,             0.91844,             0.92108,             0.96348,             0.75069,            0.016416,           0.0035964,            0.015451,            0.008515,            0.008515,            0.008515
                  47,            0.019463,           0.0039398,            0.010713,             0.89532,             0.92593,             0.95486,             0.73019,            0.016628,           0.0035997,            0.018459,            0.008482,            0.008482,            0.008482
                  48,            0.019059,           0.0037942,            0.011053,             0.91235,             0.93171,             0.96775,             0.74655,            0.016604,            0.003651,             0.01632,            0.008449,            0.008449,            0.008449
                  49,            0.019052,           0.0037828,           0.0080153,             0.90229,             0.92624,             0.96619,             0.76608,            0.015308,           0.0034381,            0.019524,            0.008416,            0.008416,            0.008416
                  50,            0.018816,           0.0038245,           0.0082034,             0.90586,             0.93827,             0.97162,             0.75493,            0.015918,           0.0034376,            0.017093,            0.008383,            0.008383,            0.008383
                  51,            0.019036,           0.0037937,            0.008455,             0.92302,             0.90663,             0.97115,             0.75371,            0.015862,           0.0034841,             0.02374,             0.00835,             0.00835,             0.00835
                  52,            0.018436,           0.0037236,           0.0070646,             0.91506,             0.91441,             0.96813,             0.76236,            0.015471,           0.0034257,            0.016247,            0.008317,            0.008317,            0.008317
                  53,            0.018282,           0.0037509,              0.0067,             0.93818,             0.93673,             0.97732,             0.78023,            0.015391,           0.0034601,            0.012943,            0.008284,            0.008284,            0.008284
                  54,            0.018301,           0.0036794,            0.006727,              0.9509,              0.9321,             0.97842,             0.77832,            0.015575,           0.0033858,            0.016353,            0.008251,            0.008251,            0.008251
                  55,            0.018378,           0.0036559,           0.0069159,             0.90723,             0.89042,              0.9675,             0.75839,            0.015136,           0.0034533,            0.013001,            0.008218,            0.008218,            0.008218
                  56,            0.018133,            0.003693,           0.0069456,             0.89624,             0.91358,             0.96864,             0.77325,            0.014992,           0.0033679,            0.015106,            0.008185,            0.008185,            0.008185
                  57,            0.017955,           0.0036425,            0.006284,              0.9341,             0.93981,             0.97917,             0.77918,            0.014616,           0.0033953,            0.014364,            0.008152,            0.008152,            0.008152
                  58,            0.018012,            0.003648,           0.0054047,             0.95034,             0.91556,             0.98337,             0.77529,            0.014939,           0.0033638,            0.010331,            0.008119,            0.008119,            0.008119
                  59,            0.017872,            0.003651,           0.0055524,             0.92873,             0.92502,             0.97796,              0.7772,            0.014666,           0.0034214,            0.010623,            0.008086,            0.008086,            0.008086
                  60,            0.017442,           0.0036794,           0.0066734,             0.96472,             0.92825,             0.97948,             0.78035,            0.014849,           0.0033764,            0.012212,            0.008053,            0.008053,            0.008053
                  61,            0.017699,           0.0037082,           0.0068374,             0.90591,             0.91512,             0.97017,             0.77231,            0.014573,           0.0033562,           0.0095305,             0.00802,             0.00802,             0.00802
                  62,            0.017519,           0.0036372,           0.0057276,             0.94594,             0.93364,             0.98137,             0.78404,            0.014391,           0.0033119,            0.010122,            0.007987,            0.007987,            0.007987
                  63,            0.017537,           0.0036943,           0.0068102,             0.96648,             0.93428,             0.97908,             0.78748,            0.014864,           0.0034531,           0.0080519,            0.007954,            0.007954,            0.007954
                  64,              0.0177,           0.0035915,           0.0051988,             0.95235,             0.92527,             0.97712,              0.7772,            0.014527,           0.0033095,           0.0095907,            0.007921,            0.007921,            0.007921
                  65,             0.01713,           0.0035656,           0.0048691,              0.9506,             0.92057,             0.97357,             0.78288,            0.014775,           0.0033877,           0.0075462,            0.007888,            0.007888,            0.007888
                  66,            0.017194,           0.0036403,           0.0055158,             0.94892,             0.91736,              0.9744,               0.782,            0.015009,           0.0034064,            0.010691,            0.007855,            0.007855,            0.007855
                  67,            0.017683,           0.0036373,           0.0054966,             0.93591,             0.93981,             0.97534,             0.79075,            0.014398,           0.0033476,            0.011155,            0.007822,            0.007822,            0.007822
                  68,             0.01711,           0.0035347,           0.0046603,             0.93085,             0.95554,             0.98174,             0.78955,            0.014281,           0.0033216,           0.0070996,            0.007789,            0.007789,            0.007789
                  69,            0.017122,           0.0035318,           0.0045065,             0.95132,             0.93496,             0.98094,             0.79816,            0.013996,           0.0033515,           0.0081384,            0.007756,            0.007756,            0.007756
                  70,            0.016818,           0.0035808,           0.0046345,             0.93443,             0.90172,             0.97355,               0.782,             0.01402,           0.0033546,            0.010912,            0.007723,            0.007723,            0.007723
                  71,            0.016933,           0.0034445,           0.0042859,             0.95632,               0.946,             0.98207,             0.79671,            0.014046,           0.0032389,           0.0061653,             0.00769,             0.00769,             0.00769
                  72,            0.016522,           0.0035003,            0.004575,             0.96283,              0.9193,             0.98273,             0.78881,            0.014382,           0.0032586,           0.0097428,            0.007657,            0.007657,            0.007657
                  73,             0.01673,            0.003513,           0.0045204,             0.94544,             0.94136,             0.98013,             0.80132,             0.01384,           0.0032845,           0.0081951,            0.007624,            0.007624,            0.007624
                  74,            0.016725,            0.003402,           0.0045202,             0.97347,             0.94136,             0.98616,             0.79861,            0.014083,           0.0032997,           0.0054678,            0.007591,            0.007591,            0.007591
                  75,            0.016522,           0.0034452,           0.0045265,             0.97767,             0.94604,             0.98573,             0.80208,            0.013834,           0.0033092,           0.0062861,            0.007558,            0.007558,            0.007558
                  76,            0.016486,             0.00345,           0.0039841,             0.95844,             0.96099,             0.98712,             0.80431,            0.013679,           0.0032142,             0.00611,            0.007525,            0.007525,            0.007525
                  77,            0.016577,           0.0034179,           0.0041418,             0.94852,             0.92747,             0.98239,             0.80361,            0.013548,           0.0031944,           0.0088951,            0.007492,            0.007492,            0.007492
                  78,            0.016305,           0.0033908,           0.0043314,             0.96392,             0.93364,             0.98242,             0.80272,            0.013695,           0.0033048,           0.0063045,            0.007459,            0.007459,            0.007459
                  79,            0.016578,           0.0033408,           0.0037568,             0.96301,             0.95679,              0.9875,             0.80748,            0.013814,           0.0032106,           0.0054868,            0.007426,            0.007426,            0.007426
                  80,            0.016486,           0.0034209,           0.0043959,             0.93595,             0.94907,              0.9796,             0.79734,            0.013708,           0.0033297,           0.0065978,            0.007393,            0.007393,            0.007393
                  81,             0.01626,           0.0034168,           0.0044411,             0.97515,              0.9429,             0.98702,             0.79833,            0.013618,           0.0032113,           0.0088715,             0.00736,             0.00736,             0.00736
                  82,            0.016301,           0.0032965,           0.0034092,             0.96431,             0.95908,             0.98821,              0.8083,            0.013522,           0.0032097,           0.0047682,            0.007327,            0.007327,            0.007327
                  83,            0.015929,           0.0033639,           0.0033959,              0.9569,             0.95062,              0.9833,             0.80305,            0.013308,           0.0031711,           0.0058832,            0.007294,            0.007294,            0.007294
                  84,            0.016247,           0.0033167,           0.0036309,             0.96235,             0.94676,             0.98678,             0.80188,            0.013424,           0.0031842,           0.0055436,            0.007261,            0.007261,            0.007261
                  85,            0.016052,            0.003294,           0.0037289,             0.96587,             0.96076,             0.98764,             0.80703,            0.013333,           0.0031857,            0.005074,            0.007228,            0.007228,            0.007228
                  86,            0.015828,             0.00324,           0.0033604,             0.96851,             0.94919,             0.98773,             0.80354,            0.013605,              0.0032,           0.0053166,            0.007195,            0.007195,            0.007195
                  87,            0.016216,           0.0033043,           0.0040757,             0.94616,             0.92284,             0.97976,             0.79782,            0.013589,           0.0032252,            0.011702,            0.007162,            0.007162,            0.007162
                  88,            0.015959,           0.0033735,           0.0041037,             0.95792,             0.94843,             0.98609,             0.80635,            0.013439,           0.0032151,           0.0075105,            0.007129,            0.007129,            0.007129
                  89,            0.016116,           0.0034149,           0.0041024,             0.95239,             0.95525,             0.98646,             0.80626,            0.013528,           0.0031633,           0.0047079,            0.007096,            0.007096,            0.007096
                  90,            0.015994,           0.0033321,           0.0034822,             0.97367,             0.94907,             0.98861,             0.80972,            0.013445,           0.0032179,           0.0062088,            0.007063,            0.007063,            0.007063
