               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12103,            0.024841,            0.041168,          0.00031156,           0.0015432,           5.862e-05,          1.0434e-05,                 nan,                 nan,            0.085498,            0.070144,           0.0033173,           0.0033173
                   1,             0.10918,            0.022685,            0.037792,          4.6121e-05,           0.0030864,           1.688e-05,           1.688e-06,                 nan,                 nan,             0.26936,            0.040131,           0.0066375,           0.0066375
                   2,            0.096708,            0.016847,             0.03594,           0.0010437,             0.11111,           0.0018071,           0.0002344,             0.11161,            0.016477,            0.035823,            0.010105,           0.0099444,           0.0099444
                   3,            0.062405,            0.018573,            0.035352,             0.50878,             0.27315,              0.3296,             0.15606,            0.038749,            0.013341,             0.03612,           0.0099406,           0.0099406,           0.0099406
                   4,            0.042761,            0.014656,            0.035082,             0.78568,             0.60802,             0.65074,             0.38557,            0.030602,           0.0096408,            0.034199,           0.0099406,           0.0099406,           0.0099406
                   5,            0.035224,            0.010484,            0.035161,              0.8214,              0.7608,             0.74074,             0.48401,            0.028697,           0.0085109,            0.033595,           0.0099208,           0.0099208,           0.0099208
                   6,            0.031948,            0.008159,            0.035007,             0.80387,             0.81327,             0.77861,             0.45432,            0.026197,           0.0063449,            0.033891,            0.009901,            0.009901,            0.009901
                   7,            0.029355,           0.0071378,            0.035006,             0.84861,             0.89043,             0.83404,             0.56612,            0.022484,           0.0055498,            0.034847,           0.0098812,           0.0098812,           0.0098812
                   8,            0.027937,           0.0064238,            0.034972,             0.86504,             0.93969,             0.85494,             0.60331,            0.019476,           0.0048145,            0.034191,           0.0098614,           0.0098614,           0.0098614
                   9,            0.026143,           0.0059131,            0.034852,              0.8549,             0.94136,             0.86052,             0.61812,            0.019596,           0.0044326,            0.034965,           0.0098416,           0.0098416,           0.0098416
                  10,            0.024922,           0.0055528,            0.034852,             0.85815,             0.94599,             0.86973,             0.63223,            0.017912,           0.0042985,            0.034752,           0.0098218,           0.0098218,           0.0098218
                  11,            0.024011,            0.005198,            0.034982,             0.85638,             0.93673,             0.86326,             0.64341,            0.017894,           0.0041359,            0.033151,            0.009802,            0.009802,            0.009802
                  12,            0.022742,           0.0050783,            0.034788,             0.86395,             0.93981,              0.8754,             0.65807,            0.017397,           0.0040211,            0.034586,           0.0097822,           0.0097822,           0.0097822
                  13,            0.022448,           0.0048648,            0.034644,              0.8583,             0.93673,             0.86329,             0.66654,            0.016171,           0.0039878,            0.034124,           0.0097624,           0.0097624,           0.0097624
                  14,            0.022002,           0.0047235,            0.034716,             0.85903,              0.9498,             0.88016,             0.67376,            0.016536,           0.0039677,            0.034695,           0.0097426,           0.0097426,           0.0097426
                  15,            0.022052,           0.0047185,            0.034043,             0.85411,             0.95988,             0.88485,             0.65729,            0.018087,           0.0038775,            0.036115,           0.0097228,           0.0097228,           0.0097228
                  16,            0.021675,           0.0046214,            0.033908,             0.84916,              0.9556,              0.8832,             0.68042,            0.016405,           0.0038317,            0.032877,            0.009703,            0.009703,            0.009703
                  17,             0.02133,            0.004561,            0.033447,             0.85435,             0.95988,             0.88895,              0.6779,            0.016492,           0.0038491,            0.034573,           0.0096832,           0.0096832,           0.0096832
                  18,             0.02091,           0.0044652,            0.032396,             0.86285,             0.94178,             0.90195,             0.69201,            0.016608,           0.0037162,            0.036861,           0.0096634,           0.0096634,           0.0096634
                  19,            0.021117,           0.0043654,            0.031521,             0.85501,             0.95551,             0.91874,             0.69805,            0.016891,           0.0037505,            0.036173,           0.0096436,           0.0096436,           0.0096436
                  20,            0.020606,            0.004314,            0.030676,             0.85926,             0.94599,             0.93227,             0.71493,            0.016522,           0.0037197,            0.035175,           0.0096238,           0.0096238,           0.0096238
                  21,            0.020888,           0.0043486,            0.029834,             0.84409,             0.92593,             0.92083,             0.68494,            0.017128,           0.0038813,            0.035611,            0.009604,            0.009604,            0.009604
                  22,            0.021224,           0.0044899,            0.028879,             0.85879,             0.94788,             0.93418,             0.68662,            0.016598,           0.0037792,            0.036004,           0.0095842,           0.0095842,           0.0095842
                  23,            0.020145,           0.0043059,            0.028699,             0.84906,             0.95525,             0.94163,             0.72795,            0.015945,           0.0036511,            0.037977,           0.0095644,           0.0095644,           0.0095644
                  24,             0.02032,           0.0042551,            0.028612,             0.82077,             0.89506,             0.90881,             0.70621,            0.016113,           0.0040713,             0.03512,           0.0095446,           0.0095446,           0.0095446
                  25,             0.01967,           0.0041188,             0.02808,             0.87821,             0.93478,             0.94059,             0.71636,            0.015743,           0.0036891,            0.038406,           0.0095248,           0.0095248,           0.0095248
                  26,            0.019905,           0.0041685,            0.027861,             0.86359,             0.90895,             0.92299,             0.72104,            0.015611,           0.0035514,            0.039829,            0.009505,            0.009505,            0.009505
                  27,            0.019645,           0.0040465,            0.026803,             0.85935,             0.95062,             0.92975,             0.72578,            0.015577,           0.0035656,            0.038184,           0.0094852,           0.0094852,           0.0094852
                  28,            0.019719,           0.0041597,            0.024888,             0.80046,             0.93364,             0.87468,             0.65667,            0.016548,           0.0037763,            0.044227,           0.0094654,           0.0094654,           0.0094654
                  29,            0.019509,           0.0040869,            0.024566,             0.84433,              0.9542,             0.90092,              0.7004,            0.016061,            0.003568,            0.045361,           0.0094456,           0.0094456,           0.0094456
                  30,            0.019526,           0.0041875,            0.023545,             0.84534,             0.93056,             0.89811,             0.69111,            0.015833,           0.0035972,            0.038067,           0.0094258,           0.0094258,           0.0094258
                  31,             0.01958,           0.0041388,            0.023105,             0.83071,               0.939,             0.90162,             0.68873,             0.01632,           0.0036878,            0.040907,            0.009406,            0.009406,            0.009406
                  32,            0.019118,           0.0040953,             0.02249,             0.80017,              0.8966,             0.84664,             0.65015,            0.016278,           0.0038171,            0.043665,           0.0093862,           0.0093862,           0.0093862
                  33,            0.019482,           0.0041043,            0.021552,             0.80259,              0.9321,             0.88961,             0.67496,            0.016371,           0.0035945,            0.047996,           0.0093664,           0.0093664,           0.0093664
                  34,            0.019536,           0.0039118,            0.020336,             0.82595,             0.95935,             0.91304,             0.69359,            0.015991,           0.0035466,            0.046018,           0.0093466,           0.0093466,           0.0093466
                  35,            0.019596,           0.0041009,            0.020608,             0.87006,             0.95061,             0.91823,             0.71254,            0.015569,           0.0035152,            0.041922,           0.0093268,           0.0093268,           0.0093268
                  36,            0.018967,           0.0040327,            0.019671,             0.84446,              0.9213,             0.91039,             0.69954,            0.015392,           0.0035002,            0.053024,            0.009307,            0.009307,            0.009307
                  37,            0.019025,           0.0039794,             0.01966,             0.79718,             0.95525,             0.88444,             0.66688,            0.016223,           0.0036301,            0.048842,           0.0092872,           0.0092872,           0.0092872
                  38,            0.019275,           0.0041118,            0.019627,             0.84581,             0.93981,             0.91686,             0.70875,            0.015474,           0.0034866,            0.049713,           0.0092674,           0.0092674,           0.0092674
                  39,            0.018453,           0.0039104,            0.018955,             0.83855,             0.95216,             0.92632,              0.7126,            0.015367,           0.0035364,            0.047039,           0.0092476,           0.0092476,           0.0092476
                  40,            0.018867,           0.0039072,            0.017722,             0.84826,              0.9576,             0.93948,             0.72627,            0.014804,           0.0034454,            0.045354,           0.0092278,           0.0092278,           0.0092278
                  41,            0.018196,           0.0038208,            0.016883,             0.84018,             0.92901,             0.91163,             0.70274,            0.015248,           0.0034103,            0.053505,            0.009208,            0.009208,            0.009208
                  42,            0.018616,           0.0038444,            0.018243,             0.84945,             0.90586,             0.91635,             0.71045,            0.015469,            0.003521,            0.050672,           0.0091882,           0.0091882,           0.0091882
                  43,            0.018452,           0.0037801,            0.018136,             0.85333,             0.92284,             0.91468,             0.70007,            0.015573,           0.0034084,            0.043609,           0.0091684,           0.0091684,           0.0091684
                  44,            0.018471,           0.0038415,            0.017669,             0.84658,              0.9537,             0.92477,             0.71591,            0.015041,           0.0034835,            0.049417,           0.0091486,           0.0091486,           0.0091486
                  45,            0.018275,            0.003832,            0.016778,             0.84339,             0.93981,             0.91862,             0.71181,            0.014955,           0.0034187,            0.047868,           0.0091288,           0.0091288,           0.0091288
